deployment_id,latitude,longitude
Sampling Point 1 (BW),35.964505,-79.10238
Sampling Point 10 (KO),35.980056,-79.016025
Sampling Point 11 (BW),35.986363,-79.096581
Sampling Point 12 (KO),35.984767,-79.035617
Sampling Point 13 (KO),35.98471,-79.0169
Sampling Point 14 (KO),35.984633,-79.003979
Sampling Point 17 (KO),35.993736,-79.02807
Sampling Point 18 (KO),35.99969,-79.040936
Sampling Point 21 (DR),36.00985,-79.00424
Sampling Point 22 (DR),36.009574,-78.960979
Sampling Point 24 (DR),36.014255,-78.97274
Sampling Point 25 (DR),36.01985,-79.003131
Sampling Point 26 (DR),36.018407,-78.999226
Sampling Point 27 (DR),36.01968,-78.991849
Sampling Point 28 (DR),36.023291,-78.996999
Sampling Point 29 (BW),35.976707,-79.097633
Sampling Point 3 (BW),35.974625,-79.114467
Sampling Point 30 (KO),35.983802,-79.01103
Sampling Point 31 (KO),35.982269,-79.005059
Sampling Point 34 (KO),35.998296,-79.023776
Sampling Point 37 (DR),36.013314,-78.969381
Sampling Point 39 (DR),36.02246,-78.991875
Sampling Point 4 (BW),35.975881,-79.107837
Sampling Point 41 (BW),35.968467,-79.096513
Sampling Point 42 (BW),35.971815,-79.095673
Sampling Point 43 (KO),35.978703,-79.021949
Sampling Point 44 (BW),35.982143,-79.094461
Sampling Point 46 (BW),35.988632,-79.090247
Sampling Point 47 (KO),35.988777,-79.021519
Sampling Point 48 (DR),35.988197,-79.015601
Sampling Point 48 (KO),35.988197,-79.015601
Sampling Point 5 (BW),35.974357,-79.10192
Sampling Point 50 (DR),35.988917,-78.972556
Sampling Point 52 (DR),35.988901,-78.959734
Sampling Point 56 (KO),35.998659,-79.027581
Sampling Point 59 (KO),36.004051,-79.040655
Sampling Point 6 (BW),35.974805,-79.096419
Sampling Point 60 (DR),36.004075,-79.04582
Sampling Point 61 (DR),36.003787,-78.977977
Sampling Point 63 (DR),36.003729,-78.966402
Sampling Point 64 (DR),36.004244,-78.960018
Sampling Point 65 (KO),36.008845,-79.040434
Sampling Point 68 (DR),36.008518,-78.96618
Sampling Point 69 (DR),36.014391,-78.989366
Sampling Point 7 (BW),35.975295,-79.090198
Sampling Point 71 (DR),36.018852,-78.959734
Sampling Point 73 (DR),36.023789,-78.984023
Sampling Point 74 (DR),36.029094,-78.990866
Sampling Point 8 (BW),35.978657,-79.103485
Sampling Point 9 (BW),35.9787,-79.089207
